Amount ($),Merchant Code,Merchant Category,Default Brand,Default Brand Description,Coalesced Brand,Coalesced Brand Description,Location,Category
1.07,5651.0,family clothing stores,farkiwala spice,['indian restaurant'],king of spicy,['indian restaurant'],charlotte nc,Entertainment
99.0,nan,nan,bennett buildings,"['portable building manufacturer · conover, ncclosed ⋅ opens fri', 'shed builder · forest city, ncclosed ⋅ opens fri', 'portable building manufacturer · lexington, ncclosed ⋅ opens fri', 'near north carolina']",bennett building systems,"['portable building manufacturer · lexington, ncclosed ⋅ opens fri', 'near north carolina', 'portable building manufacturer · hudson, nc', 'portable building manufacturer · raeford, ncclosed ⋅ opens fri']",nc,"Trade, Professional and Personal Services"
21.5,nan,nan,s & h dry cleaners,"['dry cleaner in los angeles, california']",s and h cleaners,"['dry cleaner in los angeles, california']",los angeles ca,"Trade, Professional and Personal Services"
14.31,5542.0,automated fuel dispensers,pony canyon stop n go,['motel'],pony canyon stop and go,['motel'],austin nv,Services to Transport
240.0,8021.0,dentists or orthodontists,craig a. trueblood dds,"['dentist in wickenburg, arizona']",trueblood craig a dds,"['dentist in wickenburg, arizona']",wickenburg az,Health and Community Services
21.65,nan,nan,african imports an,"['clothing store in houston, texas']",african imports houston,"['clothing store in houston, texas']",houston tx,Retail Trade
103.0,7922.0,theatrical producers (excl motion pictures) ticket agencies,tm *peking acrobats,[],peking acrobats moscow boys choir,['view all'],ca,Entertainment
7.11,nan,nan,uptown natural car,"['chiropractor in minneapolis, minnesota']",uptown natural care center,"['chiropractor in minneapolis, minnesota']",mn,Health and Community Services
175.18,8062.0,hospitals,nairobi hospital,"[""near the nairobi hospital’s doctors' plaza, argwings kodhek road, kenya"", 'hospital · ngong rd', 'medical center · kenyaclosed ⋅ opens', 'medical center · argwings kodhek road floor, anderson centre p o ⋅ opens', 'twitter • hours ago']",nairobi hospital,"[""near the nairobi hospital’s doctors' plaza, argwings kodhek road, kenya"", 'hospital · ngong rd', 'medical center · kenyaclosed ⋅ opens', 'medical center · argwings kodhek road floor, anderson centre p o ⋅ opens', 'twitter • hours ago']",nairobi ke,Health and Community Services
152.29,5691.0,men's and women's clothing stores,lee's western wear,"['western apparel store in manhattan, kansas']",lees western wear,"['western apparel store in manhattan, kansas']",manhattan ks,Retail Trade
80.81,nan,nan,blue monkey,"['view all', 'non-profit organization in friendswood, texas']",blue monkey,"['view all', 'non-profit organization in friendswood, texas']",friendswood tx,Retail Trade
6.09,nan,nan,mud box,"['coffee shop', 'view all']",mudbox cafe,"['coffee shop', 'view all']",washington dc,Entertainment
18.0,5964.0,catalog merchant,tg service center,"['watch repair service in north little rock, arkansas']",tg service center,"['watch repair service in north little rock, arkansas']",ar,"Trade, Professional and Personal Services"
104.0,8021.0,dentists or orthodontists,"john m. pobanz dds, ms","['orthodontist in south ogden, utah']",pobanz orthodontics,"['orthodontist in south ogden, utah']",ut,Health and Community Services
22.16,5812.0,restaurants or eating places,ny ny htl slushy bar,"['bar · las vegas blvd s, new york-new york hotel and casino', 'pub · las vegas blvd s', 'near las vegas, nv', '· $$bar · hotel and casino, las vegas blvd s new york-new york']",toms urban las vegas,['sports bar'],las vegas nv,Entertainment
25.0,7399.0,business services (nec),northcoast publishing,"['near washington dc (hagerstown md)', 'newspaper publisher · geneva, oh', 'comic book store · cleveland, ohclosed ⋅ opens fri', 'corporate office · cleveland, ohclosed ⋅ opens fri']",northcoast publishing,[],oh,Property and Business Services
28.18,5542.0,automated fuel dispensers,dons gas & hardware,"['gas station in del norte county, california']",dons gas,"['gas station in del norte county, california']",klamath ca,Services to Transport
14.15,5812.0,restaurants or eating places,one family chinese res,['pan-asian restaurant'],one family chinese res,['pan-asian restaurant'],ny,Entertainment
10.0,5812.0,restaurants or eating places,b.k donut,['donut shop'],b k donut and pastries,['donut shop'],frisco tx,Retail Trade
24.94,5941.0,sporting goods stores,ringside com,"['sporting goods store in lenexa, kansas']",ringside,[],ks,Retail Trade
680.0,nan,nan,mark h terry dds,"['periodontist in wayne, new jersey']",terry dr. mark h,"['periodontist in wayne, new jersey']",wayne nj,Health and Community Services
22.66,8999.0,professional services (nec),paypal *onestopsale,[],paypal *onestopsale,[],ca,"Trade, Professional and Personal Services"
20.14,5931.0,secondhand or used merchandise stores,love inc heart to hear,"['non-profit organization in hamilton, michigan']",heart to heart,"['thrift store in hamilton, michigan']",hamilton mi,Entertainment
52.71,5992.0,florists,oyen flowers & giftwar,"['view all', 'coffee shop · main stclosed ⋅ opens fri', 'near oyen flowers & giftware & the coffee corner, main st, oyen, ab, canada', 'greenhouse · ave w', 'auto parts store · main stclosed ⋅ opens fri']",oyen flowers & giftwar,"['coffee shop', 'view all']",oyen cd,Retail Trade
12.29,7230.0,barber or beauty shops,barb s giorgi nail tec,"['beauty salon in red wing, minnesota']",barb s giorgi nail tec,"['beauty salon in red wing, minnesota']",red wing mn,"Trade, Professional and Personal Services"
174.52,nan,nan,tlf deep roots gar,"['garden center in manhattan beach, california']",deep roots garden center and florist,"['garden center in manhattan beach, california']",manhattan bea ca,"Trade, Professional and Personal Services"
30.6,nan,nan,auntie chang dumpl,['dumpling restaurant'],auntie changs dumpling house,['dumpling restaurant'],houston tx,Entertainment
25.9,7299.0,misc personal services not elsewhere classified,sq *a frog on the wall,['view all'],a frog on the wall,['view all'],denver co,"Trade, Professional and Personal Services"
18.69,7832.0,motion picture theaters,oasis theater,"['view all', 'standard pm · pm · pm', 'movie theater in brooks, alberta', 'fri, jul | sat, jul | sun, jul | mon, jul | tue, jul | wed, jul | thu, jul']",oasis theatre,"['view all', 'standard pm · pm · pm', 'movie theater in brooks, alberta', 'fri, jul | sat, jul | sun, jul | mon, jul | tue, jul | wed, jul | thu, jul']",brooks cd,Entertainment
82.21,nan,nan,three french hens,"['view all', 'furniture store in wildwood, missouri']",three french hens,"['view all', 'furniture store in wildwood, missouri']",wildwood mo,Retail Trade
25.69,5921.0,liquor wine package or beer stores,beverage place,['beer store'],beverage place,['beer store'],payson az,Retail Trade
17.47,nan,nan,jdibilling.com*,[],jdi billing,[],gb,"Trade, Professional and Personal Services"
49.3,5948.0,luggage or leather goods stores,leonys piel,"['fur coat shop in barcelona, spain']",leonys piel,"['fur coat shop in barcelona, spain']",barcelona es,Retail Trade
11.64,5812.0,restaurants or eating places,ice station grill,"['ice skating rink in santa clarita, california']",ice station valencia,"['ice skating rink in santa clarita, california']",valencia ca,Entertainment
25.0,nan,nan,fredric d johnson,"['doctor in fort worth, texas']",johnson fredric md,"['doctor in fort worth, texas']",fort worth tx,Health and Community Services
12.45,nan,nan,aroma lamps,"['lighting store · sw terraceclosed ⋅ opens fri', 'near pembroke pines, fl', '· $$candle store · sw terraceclosed ⋅ opens fri', '· $home goods store · pines blvdclosed ⋅ opens fri']",aroma lamps,"['lighting store · sw terraceclosed ⋅ opens fri', 'near pembroke pines, fl', '· $$candle store · sw terraceclosed ⋅ opens fri', '· $home goods store · pines blvdclosed ⋅ opens fri']",pembroke pine fl,Retail Trade
83.2,nan,nan,scio hardware and,"['hardware store in scio, oregon']",scio hardware and mercantile,"['hardware store in scio, oregon']",scio or,Retail Trade
49.99,5968.0,continuity/subscription merchant,hom*cz pave bracelet,['view all'],hom*cz pave bracelet,['view all'],ny,Property and Business Services
10.0,5912.0,pharmcies or drug stores,vrx pharmacy at city c,"['pharmacy in salt lake city, utah']",vrx pharmacy,"['pharmacy in salt lake city, utah']",salt lake cty ut,Retail Trade
100.0,nan,nan,miguel a chamah md,"['doctor in hialeah, florida']",miguel a chamah md pa,"['doctor in hialeah, florida']",hialeah fl,Health and Community Services
14.25,nan,nan,food hr convenie,['convenience store'],third avenue food mart,['convenience store'],san francisco ca,Retail Trade
13.02,5921.0,liquor wine package or beer stores,rockies liquors,['liquor store'],rockies liquors,"['view all', 'liquor store']",thornton co,Retail Trade
6.99,4899.0,cable and other pay television services,mychangeaddress.com,['view all'],my change address,[],fl,Communication Services
155.5,7922.0,theatrical producers (excl motion pictures) ticket agencies,tm *willie nelson,[],willie nelson,[],ca,Entertainment
19.29,5941.0,sporting goods stores,champlin athletic,"['sporting goods store in champlin, minnesota']",champlin athletic,"['sporting goods store in champlin, minnesota']",champlin mn,Retail Trade
26.41,5949.0,needlework sewing or fabric and piece goods stores,cloth plus,"['quilt shop in prescott valley, arizona']",clothplus quilt shop,"['quilt shop in prescott valley, arizona']",prescott vall az,Retail Trade
12.42,5261.0,garden and lawn supply stores or nurseries,the gated garden,"['garden center in lander, wyoming']",gated garden,"['garden center in lander, wyoming']",lander wy,Retail Trade
2.6,nan,nan,duke's donuts,['donut shop'],dukes donuts,['donut shop'],fort worth tx,Retail Trade
13.5,5968.0,continuity/subscription merchant,anderson herald c,[],anderson herald c,[],in,Property and Business Services
195.49,nan,nan,shore's animal hos,"['animal hospital in gainesville, florida']",shores animal hospital,"['animal hospital in gainesville, florida']",gainesville fl,Health and Community Services
25.69,5812.0,restaurants or eating places,jacks original barbequ,['restaurant'],jack  s original bar b q,['restaurant'],tucson az,Entertainment
49.0,nan,nan,hattar dental inc,"['dental clinic in rancho cucamonga, california']",dr. hattar dental and orthodontics,"['dentist · rancho cucamonga, caclosed ⋅ opens fri', 'near california', 'dental clinic · rancho cucamonga, caclosed ⋅ opens fri', 'dentist · victorville, caclosed ⋅ opens fri']",rancho cucamo ca,Health and Community Services
440.0,7922.0,theatrical producers (excl motion pictures) ticket agencies,theatre at the center,"['theater in munster, indiana']",theatre at the center,"['theater in munster, indiana']",in,Entertainment
40.0,nan,nan,swannsborough yach,"['near swansboro, nc', 'boat repair shop · seth thomas lnclosed ⋅ opens fri', 'public parking space · swansboro, nc', 'boat tour agency · front st']",swansboro yacht club,['bar'],swansboro nc,Entertainment
55.62,5541.0,gas/service stations with/without ancillary services,newby s market,[],lakes market,['convenience store'],bemidji mn,Retail Trade
6.43,nan,nan,loews hotels casca,"['e grant rd', 'n resort dr', 'n resort dr soon ⋅', 'near tucson, az']",loews ventana canyon resort,"['view all', 'resort hotel']",tucson az,Travel
58.62,7399.0,business services (nec),hansen locksmith,"['locksmith in logan, utah']",hansen locksmith,"['locksmith in logan, utah']",logan ut,"Trade, Professional and Personal Services"
33.42,nan,nan,the trails,"['near san diego, ca', 'breakfast restaurant · jackson drclosed ⋅ opens fri', 'park · father junipero serra trailopen hoursexpansive recreational area with trails']",the trails,"['near san diego, ca', 'breakfast restaurant · jackson drclosed ⋅ opens fri', 'park · father junipero serra trailopen hoursexpansive recreational area with trails']",san diego ca,Entertainment
9.97,5399.0,general merchandise or convenience food stores,eglin e gate tank nto,['convenience store'],west gate shoppette,['convenience store'],eglin afb fl,Retail Trade
10.65,5541.0,gas/service stations with/without ancillary services,rivon,"['gas station in the stratmoor, colorado']",rivon gas and convinience,"['gas station in the stratmoor, colorado']",colo springs co,Services to Transport
10.72,nan,nan,dos palmas bakery,['cafe'],dos palmas bakery and grill,"['cafe in san diego, california']",encinitas ca,Entertainment
176.85,5641.0,children's and infants' wear stores,simply unique baby,[],simply unique makeup,['view all'],md,"Trade, Professional and Personal Services"
44.0,4829.0,money orders -- wire transfer,gca* san felipes casin,"['casino · algodones, nmopen ⋅ closes', 'near san felipe pueblo, nm', 'gas station · indian service rte closed', 'truck stop · algodones, nmopen hours']",black mesa casino,"['casino in san felipe pueblo, new mexico']",san felipe nm,Entertainment
152.0,nan,nan,iowa oral surgeons,"['waukee, iaclosed ⋅ opens fri', 'stclosed ⋅ opens fri', 'clive, iaclosed ⋅ opens fri', 'near west des moines, ia']",iowa oral and maxillofacial surgeons pc,"['oral and maxillofacial surgeon in west des moines, iowa']",west desmoine ia,Health and Community Services
40.54,nan,nan,petaluma power equ,"['car dealer in petaluma, california']",petaluma power equipment,"['car dealer in petaluma, california']",ca,Retail Trade
45.0,nan,nan,sanger clinic mcp,"['cardiologist · john j delaney dr ⋅ opens fri', 'near charlotte, nc', 'cardiologist · park rd ⋅ opens fri', 'cardiologist · harding pl ⋅ opens fri']",sanger heart and vascular institute,"['cardiologist · john j delaney dr ⋅ opens fri', 'near charlotte, nc', 'cardiologist · park rd ⋅ opens fri', 'cardiologist · harding pl ⋅ opens fri']",charlotte nc,Health and Community Services
54.63,5921.0,liquor wine package or beer stores,liquor,"['near pine bluff, ar', 'liquor store · dollarway rdcloses soon ⋅', 'liquor store · university drcloses soon ⋅', 'liquor store · s ohio stopen ⋅ closes']",drive in liquor,"['near pine bluff, ar', 'liquor store · n blake stopen ⋅ closes', 'liquor store · s ohio stopen ⋅ closes', 'liquor store · miramar dropen ⋅ closes']",pine bluff ar,Retail Trade
45.0,nan,nan,deardens,"['furniture store in chino, california']",deardens,"['furniture store in chino, california']",chino ca,Retail Trade
34.41,nan,nan,napa rochester,"['lyell ave', 'near rochester, ny', 'lake ave building bclosed ⋅ opens fri', 'monroe aveclosed ⋅ opens fri']",napa auto parts,"['auto parts store in rochester, indiana']",rochester in,Retail Trade
22.5,5812.0,restaurants or eating places,hooters albuquerque we,['american restaurant'],hooters,"['san mateo blvd neopen ⋅ closes', 'view all', 'alameda blvd nwopen ⋅ closes', 'near albuquerque, nm']",albuquerque nm,Entertainment
24.5,nan,nan,social kitchen & b,"['· $$american · howard stcloses soon ⋅', '· $$restaurant · brannan stcloses soon ⋅', '· $$californian · stclosed ⋅ opens fri', 'near b, howard st, san francisco, ca']",social kitchen and brewery,['brewery'],san francisco ca,Entertainment
1.39,nan,nan,google *pureapps,[],google play,[],google.com/ch ca,Property and Business Services
106.22,4812.0,telecommuncations equipment including telephone sales,captioncall,[],captioncall,[],ut,Retail Trade
8.19,5812.0,restaurants or eating places,wolff's sandwich shopp,['sandwich shop'],wolffs sandwich shoppe,['sandwich shop'],atlantic va,Entertainment
4.0,5812.0,restaurants or eating places,sq *snappy snacks,['restaurant'],snappy snacks,['restaurant'],austin tx,Retail Trade
43.68,5399.0,general merchandise or convenience food stores,kim's light foods,['cafe'],kims light cafe,"['view all', 'chinese restaurant in rancho cordova, california', 'cafe']",ct,Entertainment
30.0,nan,nan,estrela da pondero,['portuguese restaurant'],estrela ponderosa,['portuguese restaurant'],newark nj,Entertainment
49.57,5699.0,apparel and accessory shops -- miscellaneous,ripcurl pacific beach,"['surf shop in san diego, california']",rip curl,"['surf shop in san diego, california']",pacific beach ca,Retail Trade
390.6,nan,nan,button down inc,"['clothing store in san francisco, california']",button down,"['clothing store in san francisco, california']",san francisco ca,Retail Trade
50.0,nan,nan,flagler chd clinic,"['near bunnell, fl', 'mental health service · e moody blvd', 'public health department · dr carter blvdclosed ⋅ opens fri', 'free clinic · e moody blvdclosed ⋅ opens mon']",flagler county free clinic,"['free clinic in bunnell, florida']",bunnell fl,Health and Community Services
28.0,nan,nan,kabab & tikka rest,"['· $$indian · arch stclosed ⋅ opens fri', '· $$pakistani · chestnut stclosed ⋅ opens fri', 'restaurant · frankford avetemporarily closed', 'near philadelphia, pa']",kabab n tikka,"['pakistani · sacramento, ca', 'near santa clara county, ca', '· $$indian · santa clara, cacloses soon ⋅', '· $$persian · citrus heights, cacloses soon ⋅']",philadelphia pa,Entertainment
18.5,5813.0,alcoholic beverages drinking places - bars nightclubs etc,shay mcelroys irish pu,['irish pub'],shay mcelroys irish pub,['irish pub'],houston tx,Entertainment
54.08,nan,nan,wharf hill antique,"['home goods store in smithfield, virginia']",wharf hill,"['near smithfield, va', 'home goods store · main stclosed ⋅ opens fri', '· $$brewpub · main stclosed ⋅ opens fri']",smithfield va,Retail Trade
94.13,5947.0,card gift novelty or souvenir shops,world scout jamboree s,['view all'],world scape,['view all'],stockholm se,Travel
167.41,5499.0,misc food stores - specialty markets & convenience,avalon wine inc,['wine store'],avalon wine,"['view all', 'wine store']",or,Retail Trade
1921.0,5045.0,computers and computer peripheral equipment and software,tko media llc,"['exporter in south el monte, california']",tko,"['near santa clara county, ca', 'video conferencing service · san jose, catemporarily closed', 'construction company · woodside, catemporarily closed', 'construction equipment supplier · rancho cordova, caclosed ⋅ opens fri']",ca,"Trade, Professional and Personal Services"
13.21,7922.0,theatrical producers (excl motion pictures) ticket agencies,ster kinekor   sandton,"['movie theater in sandton, south africa']",ster kinekor   sandton,"['movie theater in sandton, south africa']",sandton za,Entertainment
7.34,nan,nan,gril worx,['breakfast restaurant'],grill worx,['breakfast restaurant'],mebane nc,Entertainment
29.42,nan,nan,artesano pottery,"['pottery store in omaha, nebraska']",artesano pottery,"['pottery store in omaha, nebraska']",omaha ne,Retail Trade
18.02,5812.0,restaurants or eating places,naples grande rsrt f&b,[],naples grande,"['beach in naples, florida']",naples fl,Entertainment
15.49,5541.0,gas/service stations with/without ancillary services,the fuoc of bo,[],the fuoc of bo,[],bowman nd,Services to Transport
14.0,nan,nan,geminis beauty sal,"['barber shop in jerome, idaho']",geminis beauty and barbers,"['barber shop in jerome, idaho']",jerome id,"Trade, Professional and Personal Services"
9.71,nan,nan,discount pet,"['pet store in lodi, california']",discount pet,"['pet store in lodi, california']",lodi ca,Retail Trade
33.65,nan,nan,budget tune & lube,"['auto tune up service in napa, california']",budget tune and lube smog,"['auto tune up service in napa, california']",napa ca,Services to Transport
21.0,nan,nan,surry animal hospi,"['veterinarian in mount airy, north carolina']",surry animal hospital,"['veterinarian in mount airy, north carolina']",mount airy nc,Health and Community Services
10.55,7399.0,business services (nec),mail station,"['post cherry hills blvdclosed ⋅ opens fri', 'near menifee', 'post haun rdclosed ⋅ opens fri', 'shipping and mailing newport rd ste ⋅ opens fri']",mail station,"['post cherry hills blvdclosed ⋅ opens fri', 'near menifee, ca', 'post haun rdclosed ⋅ opens fri', 'shipping and mailing newport rd ste ⋅ opens fri']",menifee ca,Communication Services
7.5,5812.0,restaurants or eating places,sara`s too,['sandwich shop'],saras too,['sandwich shop'],anchorage ak,Retail Trade
17.07,nan,nan,saks teriyaki,['restaurant'],saks teriyaki,['restaurant'],los angeles ca,Entertainment
50.0,8398.0,charitable or social services organizations,oc international,"['religious organization in colorado springs, colorado']",oc international,"['religious organization in colorado springs, colorado']",co,Health and Community Services
35.0,8099.0,medical services and health practitioners (nec),sw ent and sinus cente,"['doctor in scottsdale, arizona']",southwest ent and sinus center,"['doctor in scottsdale, arizona']",scottsdale az,Health and Community Services
12.25,nan,nan,cheers to you,[],cheers to you,[],or,Entertainment
33.5,nan,nan,crooked creek golf,"['golf club in lancaster county, nebraska']",crooked creek golf club,"['golf club in lancaster county, nebraska']",lincoln ne,Entertainment
79.34,5999.0,miscellaneous & specialty stores,global view,"['near wisconsin', 'investment service · waukesha, wi', 'financial planner · schofield, wiclosed ⋅ opens fri', 'financial planner · wausau, wiclosed ⋅ opens fri']",global view,"['near wisconsin', 'investment service · waukesha, wi', 'financial planner · schofield, wiclosed ⋅ opens fri', 'financial planner · wausau, wiclosed ⋅ opens fri']",wi,Finance
7.23,nan,nan,yes cleaners,"['dry cleaner in irvine, california']",yes cleaners,"['dry cleaner in irvine, california']",irvine ca,"Trade, Professional and Personal Services"
39.22,5651.0,family clothing stores,go casual,"[""women's clothing store in sioux falls, south dakota""]",go casual,"[""women's clothing store in sioux falls, south dakota""]",sioux falls sd,Retail Trade
22.25,7933.0,bowling alleys,pla mor lanes,['bowling alley'],pla mor lanes,['bowling alley'],chilton wi,Entertainment
35.0,nan,nan,jws*wiley publishe,[],jws,"['near new jersey', 'financial planner · stanhope, njclosed ⋅ opens fri', '· $$cajun restaurant · absecon, njclosed ⋅ opens fri', 'computer repair service · lambertville, njclosed ⋅ opens fri']",nj,Property and Business Services
23.82,nan,nan,sq *botanicals by,"['investment bank in solana beach, california']",botanicals,"['beauty product supplier · del mar, caclosed ⋅ opens fri', 'aromatherapy supply store · san diego, caclosed ⋅ opens fri', 'near solana beach', 'botanical garden · encinitas, caclosed ⋅ opens frisprawling locale with unique vegetation']",solana beach ca,"Trade, Professional and Personal Services"
200.0,7230.0,barber or beauty shops,jospeh abrigo,[],jospeh abrigo,[],san francisco ca,"Trade, Professional and Personal Services"
65.0,nan,nan,sq *l & i recovery,"['towing service in douglas county, nebraska']",l and i,"['towing service in douglas county, nebraska']",omaha ne,"Trade, Professional and Personal Services"
24.85,5812.0,restaurants or eating places,el nuevo ciros,"['bar & grill in el paso, texas', 'restaurant']",el portal del ciros mexican and seafood,['mexican restaurant'],el paso tx,Entertainment
8.67,nan,nan,tecos fresh mexica,['mexican restaurant'],tecos fresh mexican food,['mexican restaurant'],portland or,Entertainment
9.66,nan,nan,int*whittington's,['meat products store'],whittingtons jerky and general,['meat products store'],johnson city tx,Retail Trade
40.0,nan,nan,uno auto & tire se,"['· auto repair shophouston, txclosed ⋅ opens fri', '· tire shophouston, txclosed ⋅ opens fri', '· $ · auto repair shophouston, txclosed ⋅ opens fri', 'near southeast houston, houston, tx']",uno tire and wheels,"['tire shop in houston, texas']",houston tx,Services to Transport
70.27,5812.0,restaurants or eating places,senor tequila,['mexican restaurant'],senor tequila,['mexican restaurant'],bonita spring fl,Entertainment
41.42,nan,nan,asp,[],quickr printr,[],city of indus ca,Property and Business Services
10.0,7542.0,car washes,avenue car wash,"['car wash in sonoma county, california']",avenue car wash,"['car wash in sonoma county, california']",santa rosa ca,Services to Transport
13.95,5812.0,restaurants or eating places,pho lena,"['penland pkwyopen ⋅ closes', 'spenard rdopen ⋅ closes', 'near anchorage, ak', 'boniface pkwy ⋅ closes']",pho lena express,['vietnamese restaurant'],anchorage ak,Entertainment
653.98,nan,nan,fairfax radiology,"['fairfax, vaclosed ⋅ opens fri', 'near washington dc (hagerstown md)', 'sterling, vaclosed ⋅ opens fri']",fairfax radiology,"['fairfax, vaclosed ⋅ opens fri', 'near virginia']",va,Health and Community Services
19.0,nan,nan,lawn care success,"['· lawn care servicekingston, paclosed ⋅ opens fri', 'near pennsylvania', '· lawn care servicenew holland, paclosed ⋅ opens fri', '· lawn care servicewest chester, paclosed ⋅ opens fri']",kirks lawn care,"['lawn care service in limerick, pennsylvania']",pa,"Trade, Professional and Personal Services"
175.64,5651.0,family clothing stores,lilou jeans,"['view all', 'clothing store in wavre, belgium']",lilou jeans,"['view all', 'clothing store in wavre, belgium']",bruxelles be,Retail Trade
25.0,nan,nan,bowl of heaven (ra,['juice shop'],bowl of heaven,['juice shop'],rancho santa ca,Retail Trade
14.82,nan,nan,jonesys corner,['bar & grill'],jonesys corner,['bar & grill'],council bluff ia,Retail Trade
21.18,5733.0,music stores musical instruments pianos sheet music,ernie november,"['music store in sioux falls, south dakota']",ernie november,"['music store in sioux falls, south dakota']",sioux falls sd,Retail Trade
43.0,5944.0,clock jewelry silverware or watch stores,quality electronics,"['electronic parts supplier · sawmill rdclosed ⋅ opens fri', 'computer support and services · columbus, ohclosed ⋅ opens fri', 'near powell, oh', 'industrial equipment supplier · village park drtemporarily closed']",quality electronics,[],powell oh,Retail Trade
26.91,7399.0,business services (nec),postage plus llc,"['post office in fallon, nevada']",postage plus fallon nv,"['money transfer service in fallon, nevada']",fallon nv,Communication Services
22.34,5542.0,automated fuel dispensers,cirby way station,"['· $$gas station · cirby wayopen ⋅ closes', 'near cirby way, roseville, ca', 'gas station · cirby wayopen ⋅ closes', 'bus stop']",sunrise ave and cirby wy,['open in maps'],roseville ca,Services to Transport
28.7,nan,nan,beijing peking res,['chinese restaurant'],peking,['chinese restaurant'],decatur in,Entertainment
14.0,5462.0,bakeries,"rollin in dough, pastr",[],rollin in dough bakery and bistro,"['coffee shop in bandon, oregon']",wedderburn or,Retail Trade
23.89,5399.0,general merchandise or convenience food stores,bear paw quilt company,[],bear paw quilt,['view all'],il,Retail Trade
9.0,5813.0,alcoholic beverages drinking places - bars nightclubs etc,butter nc,['driving directions'],butter nc,['driving directions'],seaboard nc,Entertainment
29.75,5812.0,restaurants or eating places,butt wild sports bar,['view all'],butt wild sports bar,['view all'],tx,Entertainment
24.67,7399.0,business services (nec),b & b package express,"['shipping and mailing service in lincoln city, oregon']",b and b package express,"['shipping and mailing service in lincoln city, oregon']",lincoln city or,Communication Services
76.44,5533.0,automotive parts accessories stores,save automotive / bona,"['view all', '· used auto parts n camino de la tierraclosed ⋅ opens fri', '· used auto parts s avetemporarily closed', 'near tucson, az', '· used auto parts e littletown rdclosed ⋅ opens fri']",save automotive,"['used auto parts store in tucson, arizona']",tucson az,Services to Transport
22.56,nan,nan,one low price clea,"['near pembroke pines, fl', '· dry nw terraceclosed ⋅ opens fri', '· dry n university dr']",one low price cleaners,"['dry cleaner in pembroke pines, florida']",pembroke pine fl,"Trade, Professional and Personal Services"
9.89,nan,nan,bra abcs,"['view all', 'military school · taylor st', 'clothing store · reilly rd building ⋅ opens fri', 'army & navy surplus shop · ⋅ opens fri', 'near fort bragg, nc']",fort bragg nc,"['twitter • days ago', 'twitter • day ago', 'town in north carolina']",fort bragg nc,Entertainment
45.0,5045.0,computers and computer peripheral equipment and software,"mindbody, inc","['near washington dc (hagerstown md)', 'physical therapy clinic · baltimore, mdclosed ⋅ opens fri', 'mental health service · new york, ny', 'software company · santa maria, ca']",mind body movement center physical therapy,"['physical therapy clinic in towson, maryland']",ca,Health and Community Services
5.0,5912.0,pharmcies or drug stores,plateau community phar,"['pharmacy in enumclaw, washington']",plateau community pharmacy,"['pharmacy in enumclaw, washington']",enumclaw wa,Retail Trade
728.75,5631.0,women's accessory and specialty shops,fashion knockoffs,['view all'],fashion forward handbags,"['clothing store in las vegas, nevada']",nv,Retail Trade
80.0,7379.0,computer maintenance repair and services,family computer center,[],family computer center,[],mesa az,"Trade, Professional and Personal Services"
66.0,6300.0,insurance sales and underwriting,aaa nm insurance r,"['insurance agency in merced, california']",american automobile association,"['near santa clara county, ca', 'vacaville, caclosed ⋅ opens fri', 'los gatos, caclosed ⋅ opens fri', 'san ramon, caclosed ⋅ opens fri']",ca,Travel
24.95,nan,nan,www.calldr.com,[],a fish called avalon,['seafood restaurant'],fl,Entertainment
14.45,5812.0,restaurants or eating places,big island restaurant,"['· $$deli · kapahulu aveclosed ⋅ opens fri', 'near honolulu, hi', '· $$diner · kalakaua ave', '· $hawaiian · sand island access rd ste. ⋅ opens fri']",lunch box kitchen of hawaii,['box lunch restaurant'],honolulu hi,Entertainment
30.35,nan,nan,wah hen corp,['chinese restaurant'],wah hen chinese restaurant,['chinese restaurant'],hialeah garde fl,Entertainment
27.59,5812.0,restaurants or eating places,big bowl ohio,['chinese restaurant'],big bowl,"['chinese restaurant', 'view all']",chicago il,Entertainment
54.44,5621.0,women's ready-to-wear stores,express #,"['clothing store in tucson, arizona']",express #,"['clothing store in tucson, arizona']",tucson az,Retail Trade
41.03,5812.0,restaurants or eating places,rasta grums,"['view all', 'restaurant']",rasta grums,"['view all', 'restaurant']",goteborg se,Entertainment
63.14,nan,nan,brewster gas corp,"['near brewster, ny', 'gas', 'gas closed']",burke energy,"['heating oil supplier in brewster, new york']",brewster ny,"Trade, Professional and Personal Services"
143.57,nan,nan,douzo japanese res,['japanese restaurant'],douzo sushi,['japanese restaurant'],boston ma,Entertainment
42.95,5947.0,card gift novelty or souvenir shops,nahiku ti gallery,"['view all', 'gift shop in maui county, hawaii']",nahiku ti gallery,"['view all', 'gift shop in maui county, hawaii']",hana hi,Retail Trade
50.0,7531.0,automotive body repair shops,murdocks metal and pai,"['auto body shop in ely, nevada']",murdocks metal and paint shop,"['auto body shop in ely, nevada']",ely nv,"Trade, Professional and Personal Services"
23.64,nan,nan,prima   eleve,"['view all', 'convenience store in vienna, west virginia']",prima,"['view all', 'marketing consultant in vienna, west virginia']",wienna wv,"Trade, Professional and Personal Services"
12.05,5814.0,fast food restaurants,wendy eastlke  q,['fast food restaurant'],wendys,"['near chula vista', 'eastlake pkwyopen ⋅ closes', 'e stopen ⋅ closes']",chula vista ca,Entertainment
40.0,8398.0,charitable or social services organizations,"tee up for tots, inc.",[],tee up for tots,[],az,Health and Community Services
